2021(0),2021(1),2021(2),2021(3),2021(4),2021(5),Daftar Kecamatan Di Kabupaten Kepulauan Sangihe
"masjid","protestan","katolik","hindu","buddha","lainnya",""
"2.395","8.881","56","0","0","0","KECAMATAN MANGANITU SELATAN"
"3","2.142","289","0","0","0","KECAMATAN TATOARENG"
"109","12.342","81","0","0","0","KECAMATAN TAMAKO"
"125","5.331","40","0","0","0","KECAMATAN TABUKAN SELATAN"
"31","2.684","0","0","0","0","KECAMATAN TABUKAN SELATAN TENGAH"
"35","2.079","0","0","0","0","KECAMATAN TABUKAN SELATAN TENGGARA"
"2.410","9.465","0","0","0","0","KECAMATAN TABUKAN TENGAH"
"135","14.441","573","0","0","0","KECAMATAN MANGANITU"
"3.045","14.499","401","0","0","0","KECAMATAN TAHUNA"
"3.335","12.118","0","0","0","0","KECAMATAN TAHUNA TIMUR"
"99","5.682","0","0","0","0","KECAMATAN TAHUNA BARAT"
"15.318","9.237","0","0","0","0","KECAMATAN TABUKAN UTARA"
"2.105","1.018","0","0","0","0","KECAMATAN NUSA TABUKAN"
"85","1.121","0","0","0","0","KECAMATAN KEPULAUAN MARORE"
"2.665","4.779","0","0","0","0","KECAMATAN KENDAHE"
"31.895","105.819","1.440","0","0","0","KABUPATEN KEPULAUAN SANGIHE"
