2021(0),2021(1),2021(2),2021(3),2021(4),2021(5),Daftar Kecamatan Di Kabupaten Kepulauan Sangihe
"Masjid","Mushola","Gereja Protestan","Gereja Katholik","Pura","Vihara",""
"4","0","59","1","0","0","KECAMATAN MANGANITU SELATAN"
"0","0","24","1","0","0","KECAMATAN TATOARENG"
"0","1","80","1","0","0","KECAMATAN TAMAKO"
"2","0","45","1","0","0","KECAMATAN TABUKAN SELATAN"
"1","0","22","0","0","0","KECAMATAN TABUKAN SELATAN TENGAH"
"1","0","23","0","0","0","KECAMATAN TABUKAN SELATAN TENGGARA"
"11","1","58","0","0","0","KECAMATAN TABUKAN TENGAH"
"1","0","66","2","0","0","KECAMATAN MANGANITU"
"6","4","38","2","0","0","KECAMATAN TAHUNA"
"2","6","19","0","0","0","KECAMATAN TAHUNA TIMUR"
"1","0","18","0","0","0","KECAMATAN TAHUNA BARAT"
"53","12","47","0","0","0","KECAMATAN TABUKAN UTARA"
"12","0","15","0","0","0","KECAMATAN NUSA TABUKAN"
"-","0","7","0","0","0","KECAMATAN KEPULAUAN MARORE"
"7","2","15","0","0","0","KECAMATAN KENDAHE"
"101","26","536","8","0","0","KABUPATEN KEPULAUAN SANGIHE"
